No,Method 1 (s),Method 2 (s),Method 3 (s)
1,0.30023918400002,0.0290422109999326,0.0085944880001989
2,0.3082882310000059,0.0320323159999134,0.0087344840001151
3,0.3056239459999688,0.0264257440001074,0.0104520810000394
4,0.2961842350000552,0.0277033370000481,0.0143953720000808
5,0.2993131010000525,0.0279200889999629,0.0104451759998482
6,0.3062314980002156,0.0275336420002076,0.0088786169999366
7,0.3011842350001643,0.02911875399991,0.008889943999975
8,0.2936689529999512,0.0269379829999252,0.0086219390000223
9,0.2978872169999249,0.0278606639999452,0.0099013920000743
10,0.2997952670000359,0.0265895449999788,0.0094918570000572
11,0.3148918950000734,0.0451238499999817,0.0098788740001509
12,0.2974803209999663,0.0290937019999546,0.0117468050000297
13,0.3017996280000261,0.0272873839999192,0.0106689849999384
14,0.2967357229999834,0.0271440420001454,0.0089985259999139
15,0.3124936679998882,0.0366339050001442,0.0104289270000208
16,0.3094957440000598,0.0322138559999984,0.010332156000004
17,0.3082943819999855,0.030740372000082,0.0089688630000637
18,0.3091926780000449,0.0316981820001274,0.0079061230001116
19,0.3109837859999516,0.0293974929998057,0.0082009760001255
20,0.3112146370001483,0.0279323019999537,0.0080931259999488
21,0.3087006330001713,0.0274771260001216,0.0093741869998211
22,0.3022650789998806,0.029325530000051,0.0085531109998555
23,0.3027079540001978,0.030568427000162,0.0082580349999261
24,0.3035377789999529,0.0267019830000663,0.0083395090000522
25,0.3076106160001473,0.027535657000044,0.0084163829999397
26,0.3061251690000972,0.0285229869998602,0.0085690050000266
27,0.2944821040000533,0.0273661270000502,0.0091090230000645
28,0.3003829900001165,0.0309101210000335,0.0083247229999869
29,0.3259508430001006,0.0300917639999624,0.0087427799999204
30,0.3221256239999093,0.0289040580000801,0.0082554810001056
31,0.3148753519999445,0.027526170000101,0.0084306929998092
32,0.3071516580000661,0.0280956419999256,0.0078206539999428
33,0.2988150609999138,0.0279407190000711,0.0078245290001177
34,0.3044903069999236,0.0262460989999908,0.0081583830001363
35,0.3067093059999024,0.0281079549999958,0.0091824169999199
36,0.3033644810000169,0.0284687610001128,0.0076878809998106
37,0.3021910679999564,0.0272858690000248,0.0083007099999576
38,0.3007772959999784,0.0285797050000837,0.0077585920000728
39,0.3023980369998753,0.0285504950002177,0.0074520529999517
40,0.3061444750001101,0.0304749780000292,0.0074066570000468
41,0.3092266950000066,0.0311128610001105,0.0074652949999745
42,0.3093692100001135,0.0277513089999956,0.0074815209998178
43,0.3090699199999562,0.0268292610001026,0.0069794169999113
44,0.3197469159999855,0.0272972709999521,0.0074348650000501
45,0.3173411660000056,0.0293179430000236,0.0072601459999077
46,0.3172405709999566,0.0272219829998903,0.0080476499999804
47,0.3197186249999504,0.027746967999974,0.0075389080000149
48,0.3197514200001023,0.0266324290000739,0.0079177849997904
49,0.3211338759999762,0.0335323580000022,0.0070707929999116
50,0.3193562829999337,0.035409952000009,0.0077732970000852
