run,execution_time_s,method
1,0.008594488000198908,method3
2,0.008734484000115117,method3
3,0.01045208100003947,method3
4,0.014395372000080897,method3
5,0.010445175999848288,method3
6,0.00887861699993664,method3
7,0.008889943999975003,method3
8,0.008621939000022394,method3
9,0.009901392000074338,method3
10,0.00949185700005728,method3
11,0.009878874000150972,method3
12,0.01174680500002978,method3
13,0.010668984999938402,method3
14,0.008998525999913909,method3
15,0.010428927000020849,method3
16,0.010332156000004034,method3
17,0.00896886300006372,method3
18,0.00790612300011162,method3
19,0.008200976000125593,method3
20,0.008093125999948825,method3
21,0.009374186999821177,method3
22,0.008553110999855562,method3
23,0.008258034999926167,method3
24,0.008339509000052203,method3
25,0.008416382999939742,method3
26,0.008569005000026664,method3
27,0.009109023000064553,method3
28,0.008324722999986989,method3
29,0.008742779999920458,method3
30,0.008255481000105647,method3
31,0.008430692999809253,method3
32,0.007820653999942806,method3
33,0.007824529000117764,method3
34,0.008158383000136382,method3
35,0.009182416999919951,method3
36,0.007687880999810659,method3
37,0.00830070999995769,method3
38,0.007758592000072895,method3
39,0.007452052999951775,method3
40,0.007406657000046835,method3
41,0.007465294999974503,method3
42,0.007481520999817803,method3
43,0.0069794169999113365,method3
44,0.007434865000050195,method3
45,0.007260145999907763,method3
46,0.008047649999980422,method3
47,0.007538908000014999,method3
48,0.007917784999790456,method3
49,0.007070792999911646,method3
50,0.007773297000085222,method3
