run,execution_time_s,method
1,0.30023918400002003,method1
2,0.3082882310000059,method1
3,0.3056239459999688,method1
4,0.2961842350000552,method1
5,0.2993131010000525,method1
6,0.30623149800021565,method1
7,0.30118423500016434,method1
8,0.2936689529999512,method1
9,0.29788721699992493,method1
10,0.2997952670000359,method1
11,0.3148918950000734,method1
12,0.29748032099996635,method1
13,0.30179962800002613,method1
14,0.2967357229999834,method1
15,0.3124936679998882,method1
16,0.30949574400005986,method1
17,0.3082943819999855,method1
18,0.3091926780000449,method1
19,0.3109837859999516,method1
20,0.3112146370001483,method1
21,0.30870063300017136,method1
22,0.30226507899988064,method1
23,0.3027079540001978,method1
24,0.30353777899995293,method1
25,0.3076106160001473,method1
26,0.30612516900009723,method1
27,0.29448210400005337,method1
28,0.3003829900001165,method1
29,0.3259508430001006,method1
30,0.3221256239999093,method1
31,0.31487535199994454,method1
32,0.30715165800006616,method1
33,0.29881506099991384,method1
34,0.30449030699992363,method1
35,0.3067093059999024,method1
36,0.3033644810000169,method1
37,0.30219106799995643,method1
38,0.3007772959999784,method1
39,0.30239803699987533,method1
40,0.3061444750001101,method1
41,0.30922669500000666,method1
42,0.3093692100001135,method1
43,0.30906991999995626,method1
44,0.3197469159999855,method1
45,0.3173411660000056,method1
46,0.3172405709999566,method1
47,0.3197186249999504,method1
48,0.31975142000010237,method1
49,0.3211338759999762,method1
50,0.3193562829999337,method1
