run,execution_time_s,method
1,0.02904221099993265,method2
2,0.03203231599991341,method2
3,0.026425744000107443,method2
4,0.027703337000048123,method2
5,0.0279200889999629,method2
6,0.027533642000207692,method2
7,0.02911875399991004,method2
8,0.026937982999925225,method2
9,0.027860663999945245,method2
10,0.026589544999978898,method2
11,0.04512384999998176,method2
12,0.029093701999954646,method2
13,0.027287383999919257,method2
14,0.02714404200014542,method2
15,0.036633905000144296,method2
16,0.032213855999998486,method2
17,0.03074037200008206,method2
18,0.03169818200012742,method2
19,0.029397492999805763,method2
20,0.02793230199995378,method2
21,0.027477126000121643,method2
22,0.029325530000051003,method2
23,0.030568427000162046,method2
24,0.02670198300006632,method2
25,0.02753565700004401,method2
26,0.028522986999860223,method2
27,0.027366127000050255,method2
28,0.03091012100003354,method2
29,0.030091763999962495,method2
30,0.028904058000080113,method2
31,0.027526170000101047,method2
32,0.028095641999925647,method2
33,0.027940719000071113,method2
34,0.026246098999990863,method2
35,0.028107954999995854,method2
36,0.028468761000112863,method2
37,0.02728586900002483,method2
38,0.028579705000083777,method2
39,0.02855049500021778,method2
40,0.030474978000029296,method2
41,0.03111286100011057,method2
42,0.027751308999995672,method2
43,0.026829261000102633,method2
44,0.02729727099995216,method2
45,0.02931794300002366,method2
46,0.027221982999890315,method2
47,0.027746967999974004,method2
48,0.0266324290000739,method2
49,0.033532358000002205,method2
50,0.03540995200000907,method2
