method,n,mean,median,std,min,max,q25,q75
method1,50,0.3072751768600165,0.30647040200005904,0.007920611553173093,0.2936689529999512,0.3259508430001006,0.30133808325012973,0.3111569242500991
method2,50,0.029199237620023223,0.028101798499960702,0.003196983118128808,0.0262460989999908,0.0451238499999817,0.02739387675006805,0.029918196249923226
method3,50,0.00869126387999126,0.00837794599999595,0.0013302172580594107,0.0069794169999113,0.0143953720000808,0.007821622749986525,0.00908139875002685
