cpu_model,cpu_logical_cores,cpu_physical_cores,cpu_limit,total_ram_gb,ram_limit,os,python_version,storage,computer_name
N/A (not exposed in container),32,16,4.0 CPUs,7.62 GB,4.00 GB,Linux 6.6.87.2-microsoft-standard-WSL2 (x86_64),"3.11.15 (main, May 19 2026, 23:49:45) [GCC 14.2.0]","Docker overlay2 filesystem — container read/write layer backed by the host Docker storage driver. Results directory is bind-mounted from the host, so output files persist after the container exits.",computer1
N/A (not exposed in container),32,16,1.0 CPUs,7.62 GB,0.50 GB,Linux 6.6.87.2-microsoft-standard-WSL2 (x86_64),"3.11.15 (main, May 19 2026, 23:49:45) [GCC 14.2.0]","Docker overlay2 filesystem — container read/write layer backed by the host Docker storage driver. Results directory is bind-mounted from the host, so output files persist after the container exits.",computer2
