run,execution_time_s,computer
1,0.10952787899987015,computer1
2,0.10813108599995758,computer1
3,0.13684066699988762,computer1
4,0.11330747200008773,computer1
5,0.10840540100025464,computer1
6,0.10848114800000985,computer1
7,0.10867607299996962,computer1
8,0.10797267299994928,computer1
9,0.1109288480001851,computer1
10,0.10680814900024416,computer1
11,0.10866754800008493,computer1
12,0.10777476299972477,computer1
13,0.11163084100007836,computer1
14,0.12109638500032816,computer1
15,0.10917295400031435,computer1
16,0.10870931099998415,computer1
17,0.11220466599979773,computer1
18,0.10950897800012172,computer1
19,0.10934374899989052,computer1
20,0.110444126999937,computer1
21,0.10881810999990194,computer1
22,0.1085141480002676,computer1
23,0.10956381400001192,computer1
24,0.12331353799982026,computer1
25,0.10878245999992942,computer1
26,0.10896273800017298,computer1
27,0.1086518829997658,computer1
28,0.11147407299995393,computer1
29,0.10951432599995314,computer1
30,0.10832504200016047,computer1
31,0.11101596599974073,computer1
32,0.11085964300036721,computer1
33,0.10946094500013714,computer1
34,0.11133988800020234,computer1
35,0.10930040299990651,computer1
36,0.11030594400017435,computer1
37,0.10800126999993154,computer1
38,0.11622252500001196,computer1
39,0.10910837099982018,computer1
40,0.10958272600009877,computer1
41,0.11143350300017119,computer1
42,0.10886142900017148,computer1
43,0.10908424899980673,computer1
44,0.13645414200027517,computer1
45,0.11349957999982507,computer1
46,0.10869395700001405,computer1
47,0.11126216999991811,computer1
48,0.11018838900008632,computer1
49,0.1104658549998021,computer1
50,0.1081381290000536,computer1
