run,execution_time_s,computer
1,0.3296925529998589,computer2
2,0.3332347540003866,computer2
3,0.3735226240000884,computer2
4,0.32600076899962005,computer2
5,0.33194421000007424,computer2
6,0.3293029540000134,computer2
7,0.3252201109999078,computer2
8,0.33371204400009447,computer2
9,0.3304066129999228,computer2
10,0.33442823900031726,computer2
11,0.3394305320002786,computer2
12,0.33250088800014055,computer2
13,0.3346926069998517,computer2
14,0.3264282899999671,computer2
15,0.3326898369996343,computer2
16,0.32831478000025527,computer2
17,0.33381795299965233,computer2
18,0.33985340900017036,computer2
19,0.3503603280000789,computer2
20,0.3240909000001011,computer2
21,0.3285321200000908,computer2
22,0.3275374099998771,computer2
23,0.33288348399992174,computer2
24,0.33061024000016914,computer2
25,0.3521607220000078,computer2
26,0.3335287119998611,computer2
27,0.33171751100007896,computer2
28,0.3352890290002506,computer2
29,0.3311078000001544,computer2
30,0.3308428109999113,computer2
31,0.3343032929997207,computer2
32,0.3327477509997152,computer2
33,0.33624779499996293,computer2
34,0.3338194719999592,computer2
35,0.3306747679998807,computer2
36,0.3309414000000288,computer2
37,0.33581653100009135,computer2
38,0.3304560930000662,computer2
39,0.33186187799992695,computer2
40,0.3333465350001461,computer2
41,0.33227697099982834,computer2
42,0.3392192269998304,computer2
43,0.3287153930000386,computer2
44,0.32872086999987005,computer2
45,0.3279067779999423,computer2
46,0.3385568409998996,computer2
47,0.32729166899980555,computer2
48,0.3273585679999087,computer2
49,0.3317000869997173,computer2
50,0.3242118169996502,computer2
