group,n,mean,median,std,min,max,q25,q75
Computer 1,50,0.11133663868002255,0.1094849615001294,0.006010434917877874,0.1068081490002441,0.1368406669998876,0.1086805439999807,0.11120061899987375
Computer 2,50,0.3332005594199745,0.33190304400000054,0.007922140941191261,0.3240909000001011,0.3735226240000884,0.32886639099990583,0.33418233774978034
