No,Computer 1 (s),Computer 2 (s)
1,0.1095278789998701,0.3296925529998589
2,0.1081310859999575,0.3332347540003866
3,0.1368406669998876,0.3735226240000884
4,0.1133074720000877,0.32600076899962
5,0.1084054010002546,0.3319442100000742
6,0.1084811480000098,0.3293029540000134
7,0.1086760729999696,0.3252201109999078
8,0.1079726729999492,0.3337120440000944
9,0.1109288480001851,0.3304066129999228
10,0.1068081490002441,0.3344282390003172
11,0.1086675480000849,0.3394305320002786
12,0.1077747629997247,0.3325008880001405
13,0.1116308410000783,0.3346926069998517
14,0.1210963850003281,0.3264282899999671
15,0.1091729540003143,0.3326898369996343
16,0.1087093109999841,0.3283147800002552
17,0.1122046659997977,0.3338179529996523
18,0.1095089780001217,0.3398534090001703
19,0.1093437489998905,0.3503603280000789
20,0.110444126999937,0.3240909000001011
21,0.1088181099999019,0.3285321200000908
22,0.1085141480002676,0.3275374099998771
23,0.1095638140000119,0.3328834839999217
24,0.1233135379998202,0.3306102400001691
25,0.1087824599999294,0.3521607220000078
26,0.1089627380001729,0.3335287119998611
27,0.1086518829997658,0.3317175110000789
28,0.1114740729999539,0.3352890290002506
29,0.1095143259999531,0.3311078000001544
30,0.1083250420001604,0.3308428109999113
31,0.1110159659997407,0.3343032929997207
32,0.1108596430003672,0.3327477509997152
33,0.1094609450001371,0.3362477949999629
34,0.1113398880002023,0.3338194719999592
35,0.1093004029999065,0.3306747679998807
36,0.1103059440001743,0.3309414000000288
37,0.1080012699999315,0.3358165310000913
38,0.1162225250000119,0.3304560930000662
39,0.1091083709998201,0.3318618779999269
40,0.1095827260000987,0.3333465350001461
41,0.1114335030001711,0.3322769709998283
42,0.1088614290001714,0.3392192269998304
43,0.1090842489998067,0.3287153930000386
44,0.1364541420002751,0.32872086999987
45,0.113499579999825,0.3279067779999423
46,0.108693957000014,0.3385568409998996
47,0.1112621699999181,0.3272916689998055
48,0.1101883890000863,0.3273585679999087
49,0.1104658549998021,0.3317000869997173
50,0.1081381290000536,0.3242118169996502
